Date,AQI,PM2.5,PM10,NO2,CO,O3
2015-03-31,120.0,47.03,,16.94,0.81,25.13
2015-04-01,112.0,40.62,,13.18,0.81,34.19
2015-04-02,117.8,43.1825,,14.34,0.85,31.97
2015-04-03,123.6,45.745,,22.86,1.07,36.15
2015-04-06,141.0,83.0,,12.91,0.89,33.67
2015-04-07,197.0,112.21,,17.06,1.05,30.68
2015-04-08,177.0,38.67,,9.28,0.73,23.53
2015-04-09,104.0,33.88,,13.18,0.8,21.58
2015-04-10,106.0,30.88,,12.34,0.76,22.8
2015-04-11,105.0,42.88,,17.22,0.87,32.93
2015-04-12,128.0,26.38,,8.78,1.41,32.86
2015-04-13,133.0,56.39,,13.36,1.13,40.11
2015-04-14,312.0,158.32,,20.35,0.95,40.52
2015-04-15,179.0,44.79,,15.29,0.8,30.83
2015-04-16,112.0,30.21,,12.22,0.76,33.59
2015-04-17,106.0,39.04,,15.82,0.84,39.94
2015-04-18,147.0,76.0,,33.56,1.3,35.28
2015-04-19,139.0,54.25,,21.04,1.0,41.52
2015-04-20,118.0,41.38,,15.76,0.86,32.44
2015-04-21,123.0,75.08,,15.17,0.81,29.91
2015-04-22,157.0,39.71,,18.78,1.02,23.51
2015-04-23,149.0,87.54,,17.45,1.14,37.94
2015-04-24,165.0,39.38,,12.68,0.76,42.52
2015-04-25,119.0,35.61,,7.42,0.81,51.44
2015-04-26,98.0,38.195,,17.87,0.85,45.375
2015-04-27,86.0,40.78,,28.32,0.89,39.31
2015-04-28,124.0,46.62,,18.93,0.83,39.74
2015-04-29,148.0,94.29,,18.65,0.72,38.94
2015-04-30,176.0,53.79,,19.14,1.01,52.57
2015-05-01,206.0,89.62,,29.62,1.41,38.94
2015-05-02,134.0,49.38,,14.38,0.75,48.14
2015-05-03,115.0,38.96,,13.74,0.69,46.87
2015-05-04,113.0,45.0,,17.31,0.74,42.93
2015-05-05,116.0,42.62,,15.34,0.76,50.1
2015-05-06,150.0,43.29,,18.21,1.52,51.13
2015-05-07,157.0,40.12,,18.06,1.83,32.89
2015-05-08,121.0,56.88,,26.23,0.88,39.26
2015-05-09,149.0,62.38,,22.78,0.89,43.05
2015-05-10,125.0,54.08,,16.65,0.73,42.66
2015-05-11,140.0,67.08,,21.67,0.89,28.16
2015-05-12,130.0,40.88,,13.54,0.65,33.0
2015-05-13,125.0,83.21,,21.74,0.76,19.97
2015-05-14,177.0,40.58,,8.42,0.85,22.67
2015-05-15,123.0,36.5,,8.52,0.86,16.09
2015-05-16,120.0,41.67,,11.99,0.99,20.62
2015-05-17,114.0,32.75,,9.74,0.73,33.49
2015-05-18,116.0,42.96,,13.2,1.01,40.72
2015-05-19,143.0,60.79,,18.36,1.33,39.48
2015-05-20,145.0,53.67,,16.05,1.23,36.86
2015-05-21,158.0,68.96,,20.16,1.73,45.08
2015-05-22,171.0,66.38,,18.99,1.4,36.66
2015-05-23,117.0,43.29,,13.27,0.67,39.2
2015-05-24,117.0,44.79,,13.64,0.72,29.71
2015-05-25,132.0,41.21,,11.5,0.9,29.88
2015-05-26,113.0,54.12,,15.75,0.88,32.89
2015-05-27,160.0,60.5,,12.31,1.21,39.2
2015-05-28,83.0,45.38,,10.4,0.23,44.57
2015-05-29,120.0,49.54,,15.76,0.79,44.58
2015-05-30,120.0,48.12,,11.3,0.79,46.28
2015-05-31,125.0,53.42,,13.81,0.8,50.6
2015-06-01,165.0,237.79,,9.84,0.78,48.34
2015-06-02,661.0,539.13,,8.57,0.73,37.95
2015-06-03,294.0,49.54,,14.49,0.88,42.6
2015-06-04,125.0,50.58,,11.94,0.81,49.06
2015-06-05,117.0,43.62,,14.44,0.82,43.08
2015-06-06,127.0,83.88,,15.72,0.85,41.62
2015-06-07,179.0,43.12,,20.71,1.14,22.47
2015-06-08,118.0,30.71,,11.84,0.75,23.72
2015-06-09,98.0,25.79,,12.17,0.72,18.8
2015-06-10,100.0,25.58,,14.21,0.76,24.68
2015-06-11,102.0,26.0,,13.23,0.69,24.27
2015-06-12,95.0,24.88,,11.33,0.75,20.85
2015-06-13,106.0,29.33,,12.49,0.94,16.93
2015-06-14,142.0,87.21,,9.67,1.14,9.61
